d0001	YHQ 176-band,1-ilova3-bo'lim 3.27 yo'l belgisi.
d0002	YHQ 3-ilova 7.10-bandiga muvofiq, M1, M2, M3, N1, N2, N3 toifasidagi transport vositalarida tibbiyot qutichasi (aptechka), o't o'chirgich, majburiy to'xtaganligini bildiruvchi belgi (falokat taniqlik belgisi) yoki miltillovchi qizil chiroq va nur qaytargichli kamzul (jilet) bo'lishi kerak.
d0003	YHQ 16-bobi 105-bandiga asosan, teng ahamiyatga ega bo'lgan yo'llar kesishgan chorrahada relssiz transport vositasining haydovchisi o'ng tomondan yaqinlashib kelayotgan transport vositalariga yo'l berishi shart.
d0004	YHQ 91-band.
d0005	YHQ 176-band
d0006	YHQ 2-ilovasidagi 1.21 chizig'i talabiga asosan, "to'xtash" yozuvi - 2.5 "To'xtamasdan harakatlanish taqiqlangan" belgisi bilan birga qo'llanilganda, haydovchini 1.12 chizig'iga yaqinlashayotganligi haqida ogohlantiradi.
d0007	YHQ 121-band.
d0008	YHQ 100-band.
d0009	YHQ 9-bobi 63-bandiga asosan, transport vositasini orqaga harakatlantirishda haydovchi yo'l harakati xavfsizligini ta'minlashi va boshqa yo'l harakati qatnashchilariga xalaqit bermasligi shart. Zarurat tug'ilganda, haydovchi boshqa shaxslarning yordamidan foydalanishi mumkin.
d0010	YHQ 65-band.
d0011	V.I.Konoplyanko Burilishda harakatlanayotgan avtomobilda markazdan qochma kuch vujudga keladi. Burilish o'ng tomonga bo'lgan holda siz qarama-qarshi yo'nalishda harakatlanish bo'lagiga, chap tomonga bo'lsa, yo'l yoqasi yoki uning tashqarisiga chiqib ketishingiz ehtimoli mavjud. Uzatma ajratilgan holatda avtomobil o'zi harakatlanib, uni boshqarish murakkablashadi. Shu bois burilishga yaqin masofa qolganda, uning tikligini va tezligingizni baholab, uzatma mexanizmini ajratmay harakatni davom ettiring.
d0012	YHQ 3-ilovasi 1-bo'lim 1.3, 1.4-bandlariga asosan, transport vositasidan foydalanishni taqiqlovchi holatlar: gidravlik tormoz uzatmasining zichligi (germetikligi) buzilgan bo'lsa. Pnevmatik tormoz uzatmasining zichligi buzilishi natijasida havo siquvchi moslama (kompressor) ishlamay turganda va boshqaruv qismlari ulanmaganda - 30 daqiqada, ulanganida - 15 daqiqada tizimdagi havo bosiminig 0,05 MP (0,5 kg/kv.sm)dan ko'p pasayishiga sabab bo'lsa. YHQ 2-bobi 12-bandi asosan, transport vositasining tormoz tizimi yoki boshqaruvi ishdan chiqsa, transport vositasini boshqarish taqiqlanadi.
d0013	YHQ 1-ilovasining 4-bo'limi 4.1.1. "Harakatlanish to'g'riga" belgisi yo'l qismini boshlanishiga o'rnatilsa, unga yaqin chorrahagacha amal qilinadi. Belgi o'ng tomonda joylashgan hovli va yo'lga tutash boshqa hududlarga burilishni taqiqlamaydi.
d0014	YHQ 1-ilova 2-bo'lim 2.6 yo'l belgisi.
d0015	YHQ 1-ilova 5-bo'lim 5.23 yo'l belgisi.
d0016	YHQ132-band.
d0017	YHQ 15-bobi 100-bandiga asosan, svetoforning qizil yoki sariq ishorasi bilan bir vaqtda yongan qo'shimcha tarmoqning yashil ishorasidagi yo'naltirgich yo'nalishida harakatlanayotgan transport vositasining haydovchisi boshqa yo'nalishlardagi transport vositalariga yo'l berishi kerak.
d0018	E.V.Bocharov "Bezopasnost dorojnogo dvijeniya"-46 str.Inertsiya kuchi ta'siri ostida avtomobilni tormozlash vaqtida o'qlarga tushadigan og'irlik qayta taqsimlanishi ro'y beradi. Old o'qqa nisbatan og'irlik ko'payadi, orqa o'qqa esa nisbatan kamayadi. Tormozlash sur'ati qanchalik baland bo'lsa, o'qlarga tushadigan og'irlik qayta taqsimlanishi sezilarliroq bo'ladi. Orqa o'qda og'irlik kamayishi bilan g'ildirakni yo'lga bosuvchi kuchi kamayadi; shunday ekan g'ildirakning sirg'anish (aylanmasdan siljish) va avtomobilning surilib ketishi ehtimoli yuzaga keladi. Old o'qda og'irlik ko'payishi g'ildirakni yo'lga bosish kuchini ko'paytiradi, shunday ekan, sirg'anish ehtimoli kamayadi.
d0019	YHQ 89-band.
d0020	Yu.V.Bashuev.K.A.KarimovaBYoK.bet.33 b.20 Shikastlangan qo'l yoki oyoqni majburiy harakatga solmasdan kiyim kiydirish imkonini yaratish uchun avval kiyim shikastlangan, so'ngra shikastlanmagan qo'l yoki oyoqqa ehtiyotlik bilan kiydiriladi.
d0021	YHQ 1-ilovasining 1-bo'limi 1.20-bandiga asosan, "Piyodalar o'tish joyi" 5.16.1, 5.16.2 belgilari (yoki) 1.14.1-1.14.3 chiziqlari bilan belgilangan piyodalar o'tish joyi.
d0022	YHQ 1-ilova 7-bo'lim 7.4.1 yo'l belgisi.
d0023	YHQ 1-ilovasining 1-bo'limidagi 1.3.1 belgi "Bir izli temir yo'l" - shlagbaum bilan jihozlanmagan bir izli temir yo'l kesishmasi haqida ogohlantiradi.
d0024	YHQ 15-bobi 99-bandiga asosan, svetoforning yashil ishorasida chapga burilayotgan yoki qayrilib olayotgan relssiz transport vositasining haydovchisi qarama-qarshi tomondan to'g'riga harakatlanayotgan va o'ngga burilayotgan transport vositalariga yo'l berishi shart.
d0025	YHQ 7-bobi 38-bandiga asosan, tartibga soluvchining QO'LLARI YoN TOMONGA UZATILGANDA YoKI TUShIRILGANDA, chap va o'ng yon tomonidan tramvayga to'g'riga, relssiz transport vositalariga to'g'riga va o'ngga harakatlanishga, piyodalarga qatnov qismini kesib o'tishga ruxsat etiladi. Old va orqa tomonidan barcha transport vositalari va piyodalarning harakatlanishi taqiqlanadi.
d0026	YHQ 56-band.
d0027	K.X.Azizov3 bob BYoK.bet.238 Suyaklar singanda shikastlangan qo'l yoki oyoqni har qanday qattiq vosita yordamida mustahkamlab, harakatsizlantirish (immobilizatsiya qilish) lozim.
d0028	YHQ 11-band
d0029	YHQ 1-ilovasi 2.6 belgisiga asosan, "Ro'para harakatning ustunligi" qarama-qarshi harakatlanishni qiyinlashtiradigan hollarda yo'lning tor qismiga kirishga taqiqlaydi. Haydovchi yo'lning tor qismida bo'lgan yoki ro'paradan unga yaqin bo'lgan transport vositasiga yo'l berishi kerak.
d0030	YHQ 1-ilovasining 3-bo'limi 3.16 belgisiga asosan, "Eng kam oraliq" belgisida ko'rsatilganidan kam oraliq masofada harakatlanish taqiqlanadi.
d0031	YHQ 132-band.
d0032	YHQ 7-bobi 38-bandiga asosan, O'NG QO'LI OLDINGA UZATILGANDA, chap yonidan tramvayga chapga, relssiz transport vositalariga barcha yo'nalishlarda, oldi tomonidan barcha transport vositalariga faqat o'ngga harakatlanishga ruxsat etiladi. Orqa tomonidan va o'ng yonidan barcha transport vositalarining harakatlanishi taqiqlanadi. Piyodalarga tartibga soluvchining orqa tomonidan qatnov qismini kesib o'tishga ruxsat etiladi.
d0033	YHQ 11-bobi 79-bandiga asosan, aholi punktlaridan tashqarida engil avtomobillarga va ruxsat etilgan to'la vazni 3,5 tonnadan oshmaydigan yuk avtomobillariga tezlikni soatiga 100 kilometrdan oshirmasdan harakatlanishga ruxsat etiladi.
d0034	Avtotest 2.0- 2.9 Ishchi (asosiy) tormoz tizimi avtomobil harakatlanishi vaqtida doimiy foydalanishga mo'ljallangan va haydovchiga avtomobil harakatini har xil intensivlikda sekinlashtirish yoki uni to'xtatish uchun xizmat qiladi. To'xtab turish tormoz tizimi avtomobilni uzoq muddatli to'xtash yoki to'xtab turish vaqtida o'z-o'zidan harakatlanib ketishidan saqlab qolish uchun mo'ljallangan.
d0035	YHQ 168-band.
d0036	YHQ 17-band.
d0037	YHQ 2-ilova 1-bo'lim 1.11 yotiq chizig'i
d0038	YHQ 17-bobi 105-bandiga asosan, teng ahamiyatga ega bo'lgan yo'llar kesishgan chorrahada relssiz transport vositasining haydovchisi o'ngdan kelayotgan transport vositalariga yo'l berishi shart. Bu qoidaga tramvay haydovchilari ham o'zaro amal qilishlari kerak. Bunday chorrahalarda, keyingi harakat yo'nalishidan qat'iy nazar, tramvay relssiz transport vositalariga nisbatan oldin o'tish huquqiga ega bo'ladi.
d0039	YHQ 11-bobining 79-bandiga asosan, aholi punktlaridan tashqarida: tirkamali engil avtomobillar, mototsikllar, ruxsat etilgan to'la vazni 3,5 tonnadan ortiq bo'lgan yuk avtomobillariga tezlikni soatiga 80 kilometrdan oshirmasdan harakatlanishga ruxsat etiladi.
d0040	YHQ 1-ilova 5-bo'lim 5.19.1 yo'l belgisi.
d0041	YHQ 3 ilovaga ko'ra, 5.1. Shina protektori naqshlarining qoldiq balandligi N2, N3, O3, O4 toifali avtotransport vositalari uchun- 1 mm. dan kam emas, M1, N1, O1, O2 toifadagi avtotransport vositalari uchun 1,6 mm.dan kam emas, M2, M3 toifadagi avtotransport vositalari uchun-2 mm. dan kam emas, mototsikl va mopedlar (skutorlar, kvadrotsikllar) uchun 0,8 mm.dan kam emas bo'lishi kerak
d0042	YHQ 5-bobi 23-bandi 1-xatboshiga asosan, yo'lovchilar transport vositasiga faqat u to'liq to'xtagandan so'ng trotuar yoki yo'l yoqasi tomonidan chiqishga va tushishga majburdirlar. Yo'lovchilarning transport vositalaridan trotuar yoki yo'l yoqasi tomonidan tushishi yoki ularga chiqishining iloji bo'lmagan hollarda u yo'lning qatnov qismi tomondan amalga oshirilishi mumkin, bunda boshqa yo'l harakati qatnashchilariga xalaqit berilmasligi va xavf tug'dirilmasligi kerak.
d0043	YHQ 1-ilova 3-bo'lim 3.2 yo'l belgisi va 7-bo'lim 7.3.2 yo'l belgisi .
d0044	YHQ 1-ilovasining 7-bo'limidagi 7.6.2 qo'shimcha axborot belgisi asosan, piyodalar yo'lkasi yonidagi to'xtab turish joyiga engil avtomobillar va mototsikllarni qanday qo'yish usulini ko'rsatadi.
d0045	YHQ 17-bobi 113-bandiga asosan, barcha hollarda, shu jumladan, piyodalar o'tish joylaridan tashqarida ham haydovchi oq hassa bilan ishora berayotgan ko'zi ojiz piyodalarni o'tkazib yuborishi kerak.
d0046	YHQ 7-bobi 38-bandiga asosan, QO'LLARI YoN TOMONGA UZATILGANDA YoKI TUShIRILGANDA, chap va o'ng yon tomonidan tramvayga to'g'riga, relssiz transport vositalariga to'g'riga va o'ngga harakatlanishga, piyodalarga qatnov qismini kesib o'tishga ruxsat etiladi. Old va orqa tomonidan barcha transport vositalari va piyodalarning harakatlanishi taqiqlanadi.
d0047	YHQ 3-ilovasi 3.1 belgi talabiga asosan, "Kirish taqiqlangan". Barcha transport vositalarining kirishi taqiqlanadi.
d0048	YHQ 58-band.
d0049	YHQ 24-bobi 144-bandiga asosan, egiluvchan ulagich bilan shatakka olishda shatakka olgan va shatakka olingan transport vositalari o'rtasidagi masofa 4-6 metr oralig'ida bo'lishi, qattiq ulagich yordamida esa 4 metrdan ko'p bo'lmasligi kerak.
d0050	YHQ 28-bobi 166-bandiga asosan, velosipedlar, mopedlar, aravalarni boshqarish, hayvonlarni minib borish yoki haydab ketish paytida yo'lning chetki o'ng bo'lagida imkoni boricha o'ng tomonidan bir qator bo'lib harakatlanishga yo'l qo'yiladi. Agar piyodalarga xalaqit bermasa, yo'l yoqasida ham harakatlanishga ruxsat etiladi.
