o0001	Qizilga
o0002	Ikkala avtomobilga
o0003	Hech qaysi biriga
o0004	Sariq avtomobilga
o0005	Faqat "А" yo'nalish bo'ylab
o0006	Faqat "B" yo'nalish bo'ylab
o0007	Faqat "C" yo'nalish bo'ylab
o0008	Faqat "А" va "G" yo'nalishlari bo'ylab
o0009	Faqat "G" yo'nalish bo'ylab
o0010	Faqat "M1" toifali transport vositasi
o0011	Faqat "M2; M3; N1" toifali transport vositasi
o0012	Faqat "N2; N3" toifali transport vositasi
o0013	Hamma sanab o'tilgan transport vositalaridan
o0014	Qizil avtomobil
o0015	Ko'k avtomobil
o0016	Sariq avtomobil
o0017	Yashil avtomobil
o0018	Qizil va oq avtomobillarga
o0019	Ko'k, yashil va oq avtomobillarga
o0020	Oq, ko'k va sariq avtomobillarga
o0021	Avtomobil va avtobus haydovchisi
o0022	Tramvay haydovchisi
o0023	Ruxsat etiladi
o0024	Taqiqlanadi
o0025	Transport vositasining sozligini va to'la jihozlanganligini tekshirishi
o0026	Harakatlanish boshlanishi xavfsiz bo'lishiga va harakatning boshqa ishtirokchilariga xalaqit bermasligiga ishonch hosil qilishi kerak
o0027	Tegishli yo'nalishdagi burilishning yorug'lik ko'rsatkichi bilan ishora berishi
o0028	Sanab o'tilgan hamma harakatlarni bajarishi
o0029	Qattiq taxtada orqasi bilan yotgan holda
o0030	Yumshoq to'shamada orqasi bilan yotgan holda
o0031	Qattiq taxtada yoni bilan yotgan holda
o0032	Og'ir vaznli va yirik o'lchamli yuklarni tashuvchi
o0033	Uzunligi yuk bilan yoki yuksiz 20 metrdan ortiq bo'lgan transport vositasi
o0034	Furgon yukxonasida odamlarni tashuvchi
o0035	Ha
o0036	Yo'q
o0037	Faqat chapga
o0038	Faqat to'g'riga
o0039	Faqat o'ngga
o0040	To'g'riga, o'ngga va qayrilishga
o0041	Transport vositalarining majburiy to'xtash joyiga yaqinlashayotgani
o0042	"To'xtamasdan harakatlanish taqiqlangan" belgisi bilan birga qo'llanilganda haydovchini "To'xtash" chizig'iga yaqinlashayotganligini
o0043	Transport vositasi piyodalarga yo'l berishi kerak bo'lgan joyni ko'rsatadi
o0044	Ajratuvchi tasmaning texnologik uzilish joylariga kirish va qayrilib olish
o0045	Orqaga harakatlanish
o0046	"To'xtab turish joyi" yoki "Dam olish yoki" belgilari bo'lgan maxsus maydonchalardan tashqari joyda to'xtash
o0047	Yuqoridagi barcha holatlar
o0048	Avtobus va motosikl haydovchilari
o0049	Yengil va yuk avtomobillari haydovchilari
o0050	Yengil avtomobil haydovchisi
o0051	Avtomobil haydovchisi
o0052	Harakatning boshqa ishtirokchilariga xalaqit bermaslik. Harakat xavfsizligini ta'minlash uchun zarur bo'lsa, boshqa shaxslar yordamidan foydalanish
o0053	Boshqa shaxslar yordamidan foydalanish
o0054	Transport vositasida tumanga qarshi chiroqlar bo'lsa, ularni yoqish
o0055	Gabarit chiroqlarini yoqish
o0056	Ikki tomonlama harakatli, 4ta yoki undan ko'p tasmali yo'llarda
o0057	Ikki tomonlama harakatli, qarama-qarshi yo'nalishdagi transport vositalari oqimlari ikkita uzluksiz chiziqlar bilan ajratilgan, 4ta tasmali yo'llarda
o0058	Yuqoridagi barcha hollarda
o0059	Uzatma ulangan holatda
o0060	Uzatma ajratilgan holatda
o0061	Tezlik oshirilganda
o0062	Gidravlik tormoz tizimidan suyuqlik oqayotgan bo'lsa
o0063	Ishchi tormoz tizimi samaradorligi talabga javob bermaydi
o0064	Kompressor pnevmatik tormoz tizimida o'rnatilgan bosimni ta'minlay olmagan holatda
o0065	Ko'rsatilgan barcha holatlarda
o0066	Yo'l xizmati xodimlariga
o0067	Tibbiyot xodimlariga zudlik bilan tibbiy yordamga muhtoj bo'lgan fuqarolarni davolash-profilaktika muassasasiga olib borish uchun
o0068	Faqat "Б"
o0069	Faqat "А"
o0070	"А" va "Б"
o0071	"А", "Б", "В" va "Г"
o0072	"А", "Б" va "В"
o0073	1
o0074	2
o0075	3
o0076	4
o0077	5
o0078	Agar tasma qolgan harakat qismidan yotiq uzluksiz chiziq bilan ajratilmagan bo'lsa, ruxsat etiladi
o0079	Tramvay va avtobus, yengil avtomobil
o0080	Tramvay, yengil avtomobil, avtobus
o0081	Yengil avtomobil, tramvay va avtobus
o0082	Orqa g'ildiraklar
o0083	Oldingi g'ildiraklar
o0084	Kajavasiz motosikllar, mopedlar va velosipedlar
o0085	Kajavali motosikllar
o0086	"Nogiron" taniqli belgisi bo'lgan yengil avtomobillar
o0087	Ruxsat etilgan to'la vazni 3,5 t. dan kam bo'lgan, bevosita trotuarlar bo'ylab joylashgan savdo va boshqa korxonalarga xizmat qiluvchi yuk avtomobillari
o0088	Kiyim avval jarohatlangan qo'lga, so'ngra sog'iga kiydiriladi
o0089	Kiyim ikkala qo'lga baravar kiydiriladi
o0090	Kiyim avval sog' qo'lga, so'ngra jarohatlangan qo'lga kiydiriladi
o0091	Yukxona devorlaridan baland chiqmasligi kerak
o0092	Shovqin hosil qilmasligi, chang ko'tarmasligi va atrof-muhitni iflos qilmasligi kerak
o0093	Transport vositasining orqa o'lchamidan 0,8 m. dan ortiq chiqib turmasligi kerak
o0094	Yo'lning trotuar yoki piyodalar yo'lkasi bo'lgan qismini
o0095	Yo'lning piyodalar o'tish joyi bo'lgan qismini
o0096	Faqat motosiklga
o0097	Faqat yuk avtomobiliga
o0098	Faqat yengil avtomobilga
o0099	Yengil avtomobil va motosiklga
o0100	Barcha transport vositalariga
o0101	Bir izli temir yo'l kesishmasiga yaqinlashayotganligi haqida
o0102	Shlagbaum bilan jihozlanmagan bir izli temir yo'l kesishmasi borligidan
