q0001	Bu belgilarning ta'sir oralig'ida qaysi avtomobil uchun to'xtashga ruxsat beriladi?
q0002	Yo'naltirgichlarning qaysilari bo'ylab harakatlanishga ruxsat etiladi?
q0003	Tibbiyot qutichasi va o't o'chirgich bo'lmagan qanday transport vositalaridan foydalanish taqiqlanadi?
q0004	Chorrahadan birinchi bo'lib o'tadi:
q0005	Harakatlanish taqiqlanadi:
q0006	Qaysi transport vositasining haydovchisi chorrahadan birinchi bo'lib o'tadi?
q0007	Shu joyda to'xtab turishga ruxsat etiladimi?
q0008	Haydovchi harakatlanishni boshlashidan oldin qanday amallarni bajarishi kerak?
q0009	Umurtqasining ko'krak qismi shikastlangan kishi transportda qanday tashiladi?
q0010	Bunday taniqli belgisi bilan belgilanadigan transport vositasi:
q0011	Avtomobilda yoqilgan sarg'ish rangli miltillovchi chiroq yoqilgan holatda harakatlanish uchun imtiyoz beradimi?
q0012	Quyidagi belgilar qaysi yo'nalishda harakatlanishga ruxsat beradi?
q0013	Mazkur chiziq nima haqida ogohlantiradi?
q0014	Avtomagistralda quyidagilar taqiqlanadi:
q0015	Qaysi transport vositasi haydovchisi to'g'riga harakatlanish huquqiga ega?
q0016	Qaysi transport vositasining haydovchisi yo'l berishi kerak?
q0017	Transport vositasini orqaga harakatlantirish paytida haydovchi qanday talablarni bajarishi kerak?
q0018	Yo'lning qarama-qarshi harakat yo'nalishi tomoniga chiqish qachon taqiqlanadi?
q0019	Qaysi holatda egri yo'lda harakatlanayotgan avtomobil turg'unligi ta'minlangan?
q0020	Qaysi shartlarda transport vositalaridan foydalanish taqiqlanadi?
q0021	Haydovchi o'z harakati yo'nalishidan qat'iy nazar kimga transport vositasini taqdim etishi kerak?
q0022	Qaysi yo'nalishlarda harakatlanishga ruxsat etilgan?
q0023	Qaysi belgi qarama-qarshi harakatlanishning ustunligini bildiradi?
q0024	Qaysi belgi Qoidalarning aholi punktlarida harakatlanish tartibini belgilaydigan talablarning bekor qilinishini ko'rsatadi?
q0025	O'ngga burilganda shu belgi bilan belgilangan tasmaga o'tishga ruxsat etiladimi?
q0026	Transport vositalari chorrahadan quyidagi tartibda o'tadilar:
q0027	Avtomobilning qaysi g'ildiragi "sirpanib" tormozlanishga ko'proq moyil?
q0028	Qaysi transport vositalarini qatnov qismining chetida ikki qator qo'yish mumkin?
q0029	Qo'l jarohatlanganda kiyim qanday tartibda kiygiziladi?
q0030	Yuk transport vositasiga shunday joylashtirilishi kerakki, u:
q0031	Mazkur yo'l belgisi nimani bildiradi?
q0032	Qaysi transport vositalariga to'xtab turishga ruxsat etilgan?
q0033	Ushbu yo'l belgisi nima haqida ogohlantiradi?
q0034	Yashil avtomobil chorrahadan nechanchi bo'lib o'tadi?
q0035	Qaysi transport vositasiga harakatlanish ruxsat etiladi?
q0036	Harakat ikki tomonlama bo'lgan, uch tasmali yo'lda siz o'ngga burilishingiz zarur. Ushbu harakatni qaysi tasmadan amalga oshirasiz?
q0037	Qaysi joylarda transport vositalariga qatnov qismining chetiga burchak ostida to'xtab turishga ruxsat etiladi?
q0038	Suyak singanda qotirib bog'lash uchun nimadan shina sifatida foydalanish eng qulay?
q0039	Kunning qorong'i vaqtida sun'iy yoritilmagan yo'llarda yoki yetarli ko'rinmaslik sharoitida yonmaydigan orqa gabarit chiroqlari bilan to'xtab turish yoki ta'mirlash joyiga borishga ruxsat beriladimi?
